Time,Moisture(%),Temperature(C),Humidity(%),Motor,Raindrop,Object
0:00:00,55,24.1,80,OFF,NO,NOT FOUND
0:00:01,54,24.1,80,OFF,NO,NOT FOUND
0:00:02,55,24.1,80,OFF,NO,NOT FOUND
0:00:03,55,24.1,80,OFF,NO,NOT FOUND
0:00:04,55,24.1,80,OFF,NO,NOT FOUND
0:00:05,55,24.1,79,OFF,NO,NOT FOUND
0:00:06,54,24.1,79,OFF,NO,NOT FOUND
0:00:07,55,24.1,79,OFF,NO,NOT FOUND
0:00:08,55,24.1,79,OFF,NO,NOT FOUND
0:00:09,55,24.1,79,OFF,NO,NOT FOUND
0:00:10,55,24.1,79,OFF,NO,NOT FOUND
0:00:11,54,24.1,79,OFF,NO,NOT FOUND
0:00:12,55,24.1,79,OFF,NO,FOUND
0:00:13,55,24.1,79,OFF,NO,FOUND
0:00:15,55,24.1,79,OFF,NO,FOUND
0:00:16,55,24.1,79,OFF,NO,FOUND
0:00:17,54,24.1,79,OFF,NO,FOUND
0:00:18,55,24.1,79,OFF,NO,FOUND
0:00:19,55,24.1,79,OFF,NO,NOT FOUND
0:00:20,56,24.1,79,OFF,NO,NOT FOUND
0:00:21,56,24.1,79,OFF,NO,NOT FOUND
0:00:22,55,24.1,79,OFF,NO,NOT FOUND
0:00:23,55,24.1,79,OFF,NO,NOT FOUND
0:00:24,55,24.1,79,OFF,NO,NOT FOUND
0:00:25,55,24.1,79,OFF,NO,NOT FOUND
0:00:26,54,24.1,79,OFF,NO,NOT FOUND
0:00:27,50,24.1,79,OFF,NO,NOT FOUND
0:00:29,49,24.1,79,OFF,NO,NOT FOUND
0:00:30,49,24.1,79,OFF,NO,NOT FOUND
0:00:31,48,24.1,79,OFF,NO,NOT FOUND
0:00:32,48,24.1,79,OFF,NO,NOT FOUND
0:00:33,47,24.1,79,OFF,NO,NOT FOUND
0:00:34,48,24.1,79,OFF,NO,NOT FOUND
0:00:35,48,24.1,79,OFF,NO,NOT FOUND
0:00:36,48,24.1,79,OFF,NO,NOT FOUND
0:00:37,49,24.1,79,OFF,NO,NOT FOUND
0:00:38,48,24.1,79,OFF,NO,NOT FOUND
0:00:39,49,24.1,79,OFF,NO,NOT FOUND
0:00:40,49,24.1,79,OFF,NO,NOT FOUND
0:00:41,49,24.1,79,OFF,NO,NOT FOUND
0:00:42,49,24.1,79,OFF,NO,NOT FOUND
0:00:44,48,24.1,79,OFF,NO,NOT FOUND
