image,labels,healthy,scab,frog_eye_leaf_spot,rust,powdery_mildew,complex
92a2438695cfa7f4.jpg,scab frog_eye_leaf_spot complex,0,1,1,0,0,1
933608dafd35c08f.jpg,healthy,1,0,0,0,0,0
e5819e8cb819e667.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
b9aed2e02cf2be80.jpg,scab,0,1,0,0,0,0
c088ad5abdb7113b.jpg,scab,0,1,0,0,0,0
e8acc52aa33321fb.jpg,rust,0,0,0,1,0,0
876b8b130b19578f.jpg,scab,0,1,0,0,0,0
a9bf3d501ab31523.jpg,healthy,1,0,0,0,0,0
d743c127828edcf4.jpg,scab,0,1,0,0,0,0
ae95c30fcd622c71.jpg,scab,0,1,0,0,0,0
ebdea0605562bd07.jpg,powdery_mildew,0,0,0,0,1,0
dd449004b20ffedd.jpg,healthy,1,0,0,0,0,0
fcfe8de21f00a0e4.jpg,healthy,1,0,0,0,0,0
afa1d78b438344e6.jpg,healthy,1,0,0,0,0,0
89cf47e1ba7046a9.jpg,complex,0,0,0,0,0,1
e6deef6e162c1208.jpg,scab,0,1,0,0,0,0
b4e9b2d80df9d80c.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
ddf4b843459ea10d.jpg,powdery_mildew,0,0,0,0,1,0
c4dbc6c5aa6985d8.jpg,rust,0,0,0,1,0,0
a885ec0de22af33e.jpg,scab,0,1,0,0,0,0
95df116a2a61fc29.jpg,healthy,1,0,0,0,0,0
84c0d4d517ff6265.jpg,scab,0,1,0,0,0,0
f87cc0d03e9e3616.jpg,healthy,1,0,0,0,0,0
9f227a89b64a42f9.jpg,healthy,1,0,0,0,0,0
8ab7cafa03db6105.jpg,healthy,1,0,0,0,0,0
ddb4bca0c9be6824.jpg,rust,0,0,0,1,0,0
a56dd542a9aaa9aa.jpg,healthy,1,0,0,0,0,0
8492e1cd9b3a25af.jpg,scab frog_eye_leaf_spot,0,1,1,0,0,0
839b6a7a21adaf14.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
b0e182fffb213898.jpg,healthy,1,0,0,0,0,0
d58631dd20bec536.jpg,scab frog_eye_leaf_spot,0,1,1,0,0,0
96b3628e46c26ea7.jpg,scab,0,1,0,0,0,0
854b9969503d1f1f.jpg,healthy,1,0,0,0,0,0
e8a0cf3c756b6149.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
f50942b44df11f69.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
bf4ad689c1ee4a44.jpg,healthy,1,0,0,0,0,0
f2c798246a0a9bdd.jpg,rust,0,0,0,1,0,0
a195580adef2b396.jpg,powdery_mildew,0,0,0,0,1,0
f0c231b79f19cc70.jpg,scab,0,1,0,0,0,0
d8e06ae3a507fe50.jpg,scab,0,1,0,0,0,0
aafac7c0582798d9.jpg,rust,0,0,0,1,0,0
d287871eedf8c848.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
f1a5cec0c1f52e43.jpg,healthy,1,0,0,0,0,0
b9e5c39f99129294.jpg,complex,0,0,0,0,0,1
b0d9c859ec2936ba.jpg,healthy,1,0,0,0,0,0
ad8c9bb81ee0d4b4.jpg,scab frog_eye_leaf_spot,0,1,1,0,0,0
a8a595d28acbf38c.jpg,scab,0,1,0,0,0,0
d4113d18c6c1ed7e.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
83c2939deb266572.jpg,rust,0,0,0,1,0,0
af87e4c505c315f1.jpg,scab frog_eye_leaf_spot,0,1,1,0,0,0
c1d13635371be1b8.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
c8c5d76fc4e81742.jpg,healthy,1,0,0,0,0,0
f66b696596d48c82.jpg,rust,0,0,0,1,0,0
fc7984f0ca40fd0e.jpg,scab,0,1,0,0,0,0
cbfe3da4062e2c86.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
ff12a0fb73c06261.jpg,scab,0,1,0,0,0,0
88eb2ed51acb61c9.jpg,scab,0,1,0,0,0,0
d8b960f02a731ed5.jpg,scab,0,1,0,0,0,0
8bccd47e68352c3c.jpg,scab,0,1,0,0,0,0
f287c39c9f702332.jpg,scab,0,1,0,0,0,0
a758ea6f48a719a2.jpg,healthy,1,0,0,0,0,0
d1996e659bc04765.jpg,scab,0,1,0,0,0,0
f8dfd48a80571fa0.jpg,scab,0,1,0,0,0,0
99037c7788671fc1.jpg,scab,0,1,0,0,0,0
a0c0c2dad98d5ebd.jpg,healthy,1,0,0,0,0,0
dea69e9dd5604a42.jpg,scab,0,1,0,0,0,0
9e96e807cbe8b690.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
f565c69a38d9a123.jpg,complex,0,0,0,0,0,1
d3b089e760db2f06.jpg,complex,0,0,0,0,0,1
8ec07e85435eaf52.jpg,scab,0,1,0,0,0,0
e1eade2d72242687.jpg,scab,0,1,0,0,0,0
abfbe4d0b6413681.jpg,scab frog_eye_leaf_spot,0,1,1,0,0,0
d4babd82dc8ea08d.jpg,healthy,1,0,0,0,0,0
a78a19ee69e67142.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
9068d8d07d787765.jpg,rust,0,0,0,1,0,0
dadf676474f08203.jpg,healthy,1,0,0,0,0,0
a59497a1da8a49de.jpg,powdery_mildew,0,0,0,0,1,0
a02cc3cfed653293.jpg,frog_eye_leaf_spot complex,0,0,1,0,0,1
ba55411ee833ce3a.jpg,powdery_mildew,0,0,0,0,1,0
858d1d24f0f7a365.jpg,complex,0,0,0,0,0,1
c7d0d8d47d2634e4.jpg,frog_eye_leaf_spot complex,0,0,1,0,0,1
fbd2c0ad0e7f2920.jpg,healthy,1,0,0,0,0,0
ded0a0c1e3b2fd03.jpg,complex,0,0,0,0,0,1
c0e95ade9850d7c6.jpg,scab frog_eye_leaf_spot complex,0,1,1,0,0,1
ddc358e20a6bc89d.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
8db3c8abe2745554.jpg,healthy,1,0,0,0,0,0
8c4e87ce6d816ec3.jpg,powdery_mildew,0,0,0,0,1,0
d07d3e869ba12c8e.jpg,scab,0,1,0,0,0,0
fc09fcc0cfe005e6.jpg,healthy,1,0,0,0,0,0
8f87b434303bfa54.jpg,scab,0,1,0,0,0,0
b6b6e0457515c85b.jpg,rust,0,0,0,1,0,0
eda692cf6d844278.jpg,scab frog_eye_leaf_spot complex,0,1,1,0,0,1
e1efc41c2a2ae96c.jpg,healthy,1,0,0,0,0,0
8acd25962f9555b8.jpg,scab frog_eye_leaf_spot,0,1,1,0,0,0
ada289cbce9a6649.jpg,complex,0,0,0,0,0,1
82c13fd0b41f78f8.jpg,powdery_mildew,0,0,0,0,1,0
ddba21d2a1257aa6.jpg,complex,0,0,0,0,0,1
8989ba6ac1c3eae9.jpg,powdery_mildew,0,0,0,0,1,0
86b51ecfc08cde83.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
feb5c2f103819c47.jpg,powdery_mildew,0,0,0,0,1,0
fdecdb612189a582.jpg,healthy,1,0,0,0,0,0
afcf958fcaca0109.jpg,healthy,1,0,0,0,0,0
f4e402c49407fde7.jpg,healthy,1,0,0,0,0,0
b94a0f82fc7a702d.jpg,powdery_mildew,0,0,0,0,1,0
ec9bd7f19c411268.jpg,scab,0,1,0,0,0,0
b5c19fa54970e453.jpg,rust,0,0,0,1,0,0
edce83cc07311a9b.jpg,powdery_mildew,0,0,0,0,1,0
e3bf47603e033943.jpg,healthy,1,0,0,0,0,0
c1af2e91a6d83c1e.jpg,scab,0,1,0,0,0,0
e96085be3e916596.jpg,complex,0,0,0,0,0,1
ba177089fe11872e.jpg,rust,0,0,0,1,0,0
d88983e16657a6b3.jpg,healthy,1,0,0,0,0,0
f0174b492fbca351.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
df8243408babbb71.jpg,scab,0,1,0,0,0,0
e09db8a3eecc22c5.jpg,healthy,1,0,0,0,0,0
a4d6ce888f4b0b7a.jpg,healthy,1,0,0,0,0,0
c1da3a00176f396f.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
ba2090ba17da1f7c.jpg,healthy,1,0,0,0,0,0
d0af8a1bd4b5c8cc.jpg,healthy,1,0,0,0,0,0
95e2e5fad05508ab.jpg,complex,0,0,0,0,0,1
fbc483ae483edc90.jpg,powdery_mildew complex,0,0,0,0,1,1
c21f23da05de2a2f.jpg,scab,0,1,0,0,0,0
a56ffa4aca4e024e.jpg,healthy,1,0,0,0,0,0
fdb5c08b16342d71.jpg,complex,0,0,0,0,0,1
b4a6f252cabbc912.jpg,frog_eye_leaf_spot,0,0,1,0,0,0
