raw_path,filename,class_name,class_id,crop,disease,status,orig_width,orig_height,file_size_kb,split,processed_path,target_width,target_height
J:\AGRISMART_AI\dataset\raw\Apple___Apple_scab\Apple___Apple_scab_sample_001.jpg,Apple___Apple_scab_sample_001.jpg,Apple___Apple_scab,0,Apple,Apple Scab,Diseased,302,303,21.37,train,processed\train\Apple___Apple_scab\Apple___Apple_scab_sample_001.jpg,224,224
J:\AGRISMART_AI\dataset\raw\Apple___Apple_scab\Apple___Apple_scab_sample_002.jpg,Apple___Apple_scab_sample_002.jpg,Apple___Apple_scab,0,Apple,Apple Scab,Diseased,339,286,23.1,train,processed\train\Apple___Apple_scab\Apple___Apple_scab_sample_002.jpg,224,224
J:\AGRISMART_AI\dataset\raw\Apple___Apple_scab\Apple___Apple_scab_sample_003.jpg,Apple___Apple_scab_sample_003.jpg,Apple___Apple_scab,0,Apple,Apple Scab,Diseased,311,320,22.74,train,processed\train\Apple___Apple_scab\Apple___Apple_scab_sample_003.jpg,224,224
J:\AGRISMART_AI\dataset\raw\Apple___Apple_scab\Apple___Apple_scab_sample_006.jpg,Apple___Apple_scab_sample_006.jpg,Apple___Apple_scab,0,Apple,Apple Scab,Diseased,298,356,25.09,train,processed\train\Apple___Apple_scab\Apple___Apple_scab_sample_006.jpg,224,224
J:\AGRISMART_AI\dataset\raw\Apple___Apple_scab\Apple___Apple_scab_sample_009.jpg,Apple___Apple_scab_sample_009.jpg,Apple___Apple_scab,0,Apple,Apple Scab,Diseased,334,316,23.55,train,processed\train\Apple___Apple_scab\Apple___Apple_scab_sample_009.jpg,224,224
J:\AGRISMART_AI\dataset\raw\Apple___Apple_scab\Apple___Apple_scab_sample_010.jpg,Apple___Apple_scab_sample_010.jpg,Apple___Apple_scab,0,Apple,Apple Scab,Diseased,334,286,22.08,train,processed\train\Apple___Apple_scab\Apple___Apple_scab_sample_010.jpg,224,224
J:\AGRISMART_AI\dataset\raw\Apple___Apple_scab\Apple___Apple_scab_sample_011.jpg,Apple___Apple_scab_sample_011.jpg,Apple___Apple_scab,0,Apple,Apple Scab,Diseased,310,313,22.69,train,processed\train\Apple___Apple_scab\Apple___Apple_scab_sample_011.jpg,224,224
J:\AGRISMART_AI\dataset\raw\Apple___Apple_scab\Apple___Apple_scab_sample_012.jpg,Apple___Apple_scab_sample_012.jpg,Apple___Apple_scab,0,Apple,Apple Scab,Diseased,302,291,20.22,train,processed\train\Apple___Apple_scab\Apple___Apple_scab_sample_012.jpg,224,224
J:\AGRISMART_AI\dataset\raw\Apple___Black_rot\Apple___Black_rot_sample_001.jpg,Apple___Black_rot_sample_001.jpg,Apple___Black_rot,1,Apple,Black Rot,Diseased,346,328,25.48,train,processed\train\Apple___Black_rot\Apple___Black_rot_sample_001.jpg,224,224
J:\AGRISMART_AI\dataset\raw\Apple___Black_rot\Apple___Black_rot_sample_002.jpg,Apple___Black_rot_sample_002.jpg,Apple___Black_rot,1,Apple,Black Rot,Diseased,324,307,23.2,train,processed\train\Apple___Black_rot\Apple___Black_rot_sample_002.jpg,224,224
J:\AGRISMART_AI\dataset\raw\Apple___Black_rot\Apple___Black_rot_sample_004.jpg,Apple___Black_rot_sample_004.jpg,Apple___Black_rot,1,Apple,Black Rot,Diseased,280,315,20.69,train,processed\train\Apple___Black_rot\Apple___Black_rot_sample_004.jpg,224,224
